,access,bridge,geometry,highway,junction,key,lanes,length,maxspeed,name,oneway,osmid,ref,service,tunnel,u,v,width,poi,crime,poi_std,crime_std,trees,greenness_std
1233,,,"LINESTRING (698744.9957892619 5711324.77182683, 698745.8812412445 5711326.287505202, 698751.2939312924 5711331.41019471, 698758.2700013451 5711338.654163875, 698761.9498650621 5711343.497414912)",footway,,0,,25.299,,Newman Passage,False,"[230111216, 105134707, 230111215]",,,yes,82710880,1685751731,,3,0,0.1442956370331967,0.0,0,0.0
1234,,,"LINESTRING (698744.9957892619 5711324.77182683, 698763.6675593373 5711302.664752516, 698777.471256383 5711278.028607239)",service,,0,,57.096000000000004,,Newman Passage,False,244963579,,,,82710880,82710881,,2,0,0.0920401619020908,0.0,0,0.0
1235,,,"LINESTRING (698744.9957892619 5711324.77182683, 698741.5541268166 5711323.601432751, 698737.6624871923 5711322.212980458, 698725.8007966824 5711317.494697614, 698716.3473300571 5711313.193684913, 698710.7637335943 5711310.837030351)",service,,0,,36.87,,Newman Passage,False,"[10064546, 244963578, 244963579]",,,yes,82710880,82710879,,3,4,0.129817934456995,0.09665487420944248,0,0.0
1236,,,"LINESTRING (698777.471256383 5711278.028607239, 698763.6675593373 5711302.664752516, 698744.9957892619 5711324.77182683)",service,,0,,57.096000000000004,,Newman Passage,False,244963579,,,,82710881,82710880,,2,0,0.0920401619020908,0.0,0,0.0
1237,,,"LINESTRING (699551.2011885183 5711840.828552059, 699554.1785073258 5711841.958992491, 699557.9775783528 5711844.803209029, 699559.9711910968 5711848.689947518, 699559.3884659634 5711853.967485161, 699553.1039781851 5711866.626223573)",service,,0,,31.695,,,False,100009526,,,,1156288959,107857,,0,43,0.0,0.23683547869448496,2,0.13625294546256395
1238,,,"LINESTRING (698414.3100570096 5711711.807726833, 698424.4731827003 5711718.552320965, 698426.202970998 5711721.214493601, 698428.2982582081 5711723.412146647, 698443.7659402031 5711735.018805046)",unclassified,,0,,37.658,20 mph,Maple Street,False,"[4256129, 303559641]",,,,823745,25501958,,0,0,0.0,0.0,5,0.21203260645193447
1239,,,"LINESTRING (698414.3100570096 5711711.807726833, 698412.5772497958 5711705.314911889, 698412.6580569695 5711700.229259169, 698415.2049732191 5711696.030660079, 698418.4137779245 5711692.492658949)",tertiary,,0,,21.470000000000002,30 mph,Cleveland Street,False,17944928,,,,823745,823771,,0,9,0.0,0.1614746364692132,4,0.22366108701251186
1240,,,"LINESTRING (698414.3100570096 5711711.807726833, 698410.4364160839 5711710.498161186, 698407.8245503872 5711710.49622969, 698404.4700301472 5711711.010882911, 698400.80547914 5711712.170393804, 698370.6155593328 5711749.116926244, 698352.6540766016 5711771.085992401)",tertiary,,0,,89.863,30 mph,Cleveland Street,False,69961424,,,,823745,821428,,9,0,0.17377394394804865,0.0,11,0.2383290154597893
1241,,,"LINESTRING (699619.4015661731 5711987.392665516, 699558.5750999745 5711961.169613426)",secondary,,0,,66.045,20 mph,Bernard Street,False,8169022,B502,,,60035532,1607738728,,1,0,0.05609253351962912,0.0,8,0.22597058750835144
1242,,,"LINESTRING (699619.4015661731 5711987.392665516, 699621.5934581085 5711985.708386127, 699625.2576506229 5711984.739036781)",secondary,,0,1,6.537,20 mph,Bernard Street,False,8169021,B502,,,60035532,2224242722,,1,10,0.1167871541657108,0.25910161542987703,3,0.2968403554045521
1243,,,"LINESTRING (699619.4015661731 5711987.392665516, 699619.1034309999 5711989.496665821, 699621.316441667 5711992.924381518)",secondary,,0,1,6.198,20 mph,,False,28026007,B502,,,60035532,2224242726,,1,10,0.11951015277633938,0.26514280500990633,4,0.3526561317324394
1244,,,"LINESTRING (699623.2622631125 5711996.787001235, 699621.316441667 5711992.924381518)",secondary,,0,1,4.32,20 mph,,False,28026007,B502,,,60035533,2224242726,,0,10,0.0,0.3131008544952349,4,0.4164432679373876
1245,,,"LINESTRING (699623.2622631125 5711996.787001235, 699627.3413588584 5711994.45318737, 699630.0856114143 5711992.50112745)",secondary,roundabout,0,2,8.048,20 mph,Brunswick Square,False,28026006,B504,,,60035533,109349,,0,10,0.0,0.2376069588646695,3,0.2722149531911036
1246,,,"LINESTRING (699623.2622631125 5711996.787001235, 699622.2116209598 5712000.008338322, 699618.2516628413 5712009.729636651, 699617.5418483372 5712015.057848061, 699618.4071753345 5712020.78210674)",secondary,roundabout,0,2,25.029,20 mph,Brunswick Square,False,605454356,B502,,,60035533,305691975,,0,10,0.0,0.1605725039601294,7,0.2759403819114176
